grading                                                                                                                                                                                                                                                                                             operator,string_or_regex_pattern,cleaned_sentence,query
1412       1                                                                                                                                                                                                                                                                                          into one of,into one of,"Most definitions of intelligence fall into one of two categories. The first is worded so that intelligence requires a brain; the definition refers to intrinsic mental qualities such as reason, judgment, and abstract thought. The 2nd category stresses behavior, defining intelligence as the ability to respond in optimal ways to the challenges presented by one’s environment and circumstances. Not surprisingly, the plant neurobiologists jump into this second camp.  [link \]",all humans should be vegan
1413       1                                                                                                                                                                                                                                                                                             are over,are over,"A quarter of people who are over the age of 35 and have an abortion (pp. 3\)  are currently divorced or separated as compared to only 19% of those who kept the child. By their late thirties, only 37% of those who had an abortion remain in their first marriage, compared to over 56% of people who did not have an abortion.",should conscientious objection to abortion be banned
1414       1                                                                                                                                                                                                                                                                                             are over,are over,Divorced and separated persons are over twice as likely to commit suicide as married persons.,should the state grant benefits linked to marriage
1415       1                                                                                                                                                                                                                                                                                             are over,are over,"Nature is an integral, inescapable part of all life on Earth. There are over 6500 genetic differences that make us male or female.",a society with no gender would be better
1416       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 7 billion people on the planet and we are not able to responsibly care for all of them. The correct choice of action is to lessen the population to manageable sizes. Ideally, the most intelligent course of action would be to lessen the population to the point where factory farms are not needed.",the ethics of eating animals is eating meat wrong
1417       1                                                                                                                                                                                                                                                                                             are over,are over,"The Jarupa Oak is a clonal colony of Palmer's Oak trees that are over 13,000 years old.",the existence of god
1418       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 60 countries registering reservations and 24 countries expressing objections to the Convention on the Elimination of All Forms of Discrimination against Women, many of which have conditionally ratified the treaty with the stipulation that those countries are not bound where the treaty conflicts with existing legal codes within those countries that expressly discriminate against women.  treaties.un.org",is it time to free the nipple toplessness and gender equality in the us
1419       1                                                                                                                                                                                                                                                                                             are over,are over,"In the United States, there are over 3x more children in adoption than there are getting adopted each year.",pro life vs pro choice should abortion be legal
1420       1                                                                                                                                                                                                                                                                                             are over,are over,"Balance is key. There are over 1,500 monuments to the Confederacy, plaques and place names, in the US. We can remove 1,000 or so (or move them to museums\) and keep about 500 for historical reference. There are now too many. We should not, by quantity, appear to glorify, but neither should we erase the past.time.com",should the us remove confederate memorials flags and monuments from public spaces
1421       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 900,000 cattle related operations in the US, almost all of which are family owned and operated. They will go out of business.",should we replace meat with insect derived protein
1422       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 68m people in the UK. When you try to work out how much it would cost to give them each £1m, the calculator gives you an answer with letters in it.",brexit is the uk going to regret the referendum
1423       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 1,500 different teacher qualifications in the US, of varying quality. The consistent application of ""best practice"" in public schools does not occur.",should homeschooling be banned
1424       1                                                                                                                                                                                                                                                                                             are over,are over,"Employees of companies with 2D-diversity - diversity that encompasses both inherent traits (gender, ethnicity, and sexual orientation) and acquired ones (learning\) - are 45% more likely to report growth in market share over the previous year.",affirmative action useful once outdated today
1425       1                                                                                                                                                                                                                                                                                             are over,are over,This is a relatively small number considering there are over 1.3 million British residents in Australia alone.,should the uk remain in the eu if the only alternative is a hard brexit
1426       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 6,000 differences in gene expression between male and female. It is not a social construct but genetic information.",is sex reassignment surgery the best option for transgender people
1427       1                                                                                                                                                                                                                                                                                             are over,are over,"A quarter of people who are over the age of 35 and have an abortion (pp. 3\)  are currently divorced or separated as compared to only 19% of those who kept the child. By their late thirties, only 37% of those who had an abortion remain in their first marriage, compared to over 56% of people who did not have an abortion.",should conscientious objection to abortion be banned
1428       1                                                                                                                                                                                                                                                                                             are over,are over,"The Old Tjikko is a clonal colony of Norway Spruce trees that are over 9,500 years old.",the existence of god
1429       1                                                                                                                                                                                                                                                                                             are over,are over,"According to the Russian authorities, there are over 600 open inquiries into missing children who were taken by their parents to Iraq and Syria; however it is estimated that the number should actually be much higher since there are likely hundreds more families who are too scared or ashamed to come forward.",should isis fighters be allowed to return home
1430       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 700 Confederate Monuments remaining.  The Union monuments number about 100. An interesting comparison given that the Union won. Usually, these are put up to memorialize a victory or to honor sacrifice. The preponderance of the Confederate statues indicates that they likely represent an ideal. That ideal is that black men are subjugated and second class citizens. 'We hold these truths to be self evident  - All Men are Created Equal'.",should the us remove confederate memorials flags and monuments from public spaces
1431       1                                                                                                                                                                                                                                                                                             are over,are over,"The United Nations believes that there are over 5,000 religious honor killings each year because of interfaith marriages.",should people marry outside their religious faith
1432       1                                                                                                                                                                                                                                                                                             are over,are over,"We are overusing Earth's resources since 1970. Total global ecological footprint of humanity is 170% that of Earth's bioacapacity, but per capita footprint hasn't really increased since 1973. Thus, the increase in total ecological footprint is due to population growth. By now, biocapacity per capita is so low that forcing ecological footprint per capita down to that level would equal destitution. This is basically the definition of overpopulation. footprint network: footprint history graph",global overpopulation is a myth
1433       1                                                                                                                                                                                                                                                                                             are over,are over,"In the UK, people under the age of 25 make up less than 10% of the adult social care workforce, according to Skills for Care, while more than one-third are over 50.",should obligatory communitymilitary service be introduced
1434       1                                                                                                                                                                                                                                                                                             are over,are over,White people are over-represented in Congress by almost 20% in relation to their share among the population.,do all or most white americans experience privilege
1435       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 100,000 children in the US waiting for adoption, and around 72,000 in the UK.",is having children selfish
1436       1                                                                                                                                                                                                                                                                                             are over,are over,"Although English is the main language accepted and spoken in Nigeria, there are over 500 other minority languages spoken.",should constitutions protect linguistic minorities
1437       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over three million Europeans in UK, and over one million UK citizens in the EU left with little guarantees at this point. All discussions on this topic are still at embryonic stage and create uncertainty.",brexit is the uk going to regret the referendum
1438       1                                                                                                                                                                                                                                                                                             are over,are over,"There are over 230,000,000 citizens of eligible voting age in the US, therefore the addition of up to 3.6 million DREAMers will hardly be enough to change the political landscape of the country.",daca and dreamers should dreamers be granted citizenship
1439       1                                                                                                                                                                                                                                                                                             are over,are over,There are over 5000 federal laws in addition to 300 000 criminally enforceable regulations in the U.S.,should judges be elected or appointed
1440       1                                                                                                                                                                                                                                                                                             are over,are over,A study conducted in Indonesia found that the price men are willing to pay for sex drops rapidly once sex workers are over 25 years old.,should sex work be legal
1441       1                                                                                                                                                                                                                                                                                             are over,are over,The US has failed to achieve the status of 'Full Democracy' on the Democracy Index) for the 2nd year in a row. There are over 20 countries that are considered to be better in that regard.,is the usa an exceptional country
1442       1                                                                                                                                                                                                                                                                                             are over,are over,"The reforms that led to the Swedish welfare state are over 150 years old, and continuously adapted to new developments and needs. It is not an ""experiment"" and not a static model.",there should be no welfare state
1443       1                                                                                                                                                                                                                                                                                        is lower than,is lower than,The U.S. life expectancy of 78.8 years is lower than the OECD median of 81.2 years.,who should provide healthcare the government or the market
1444       1                                                                                                                                                                                                                                                                                        is lower than,is lower than,"In 2017, the unemployment rate of college graduates was 2.5%; which is lower than the 7.7% high school dropout rate.",does a college degree guarantee a job
1445       1                                                                                                                                                                                                                                                                                               we get,we get,"The simplest single celled organism requires 2,000 proteins to function. These proteins average 300 amino acids and there are 20 different amino acids. To allow for the fact that variations in the chain are tolerable we can drop the chances from 20^300 to 10^20 an extremely generous allowance. If we combine this with the number of proteins needed for a functional cell (2000\), then we get 10^40,000. This is highly unlikely event to occur by chance alone. see page 18 of the pdf",can gods existence be understood by rationality
1446       1                                                                                                                                                                                                                                                                                             eight of,eight of,The weight of an average family car has increased by around 50% over the last 30 years and this has not been a hindrance to their adoption. (Mk 1 Golf: 950kg; Mk 7 Golf 1400kg\),electric vehicles are better than fossil fuel vehicles
1447       1                                                                                                                                                                                                                                                                                             eight of,eight of,Being in the EU helps us negotiate on the world stage with the weight of 512M people and the cost of negotiation spread across 27 countries. Unilateral negotiation of deals alone represents only 60M people and the deal renegotiated 27 times.,brexit is the uk going to regret the referendum
1448       1                                                                                                                                                                                                                                                                                             eight of,eight of,A blue whale has roughly the weight of 42.000 chickens) or 525 domestic pigs. This underlines how many lives could be spared for the life of one whale.,should whaling still be banned
1449       1                                                                                                                                                                                                                                                                                              has had,has had,Forbidding cars will impact on the most vulnerable. Limiting their use and imposing heavily financial restraints will have the same impact. London has had a 10% drop in volume over 10 years using a similar system,should private cars be forbidden in large cities
1450       1                                                                                                                                                                                                                                                                                              has had,has had,The Smithsonian National Zoo has had a steady number of visitors (ranging from 2 million to 2.7 million\) in the last decade.,should zoos be banned
1451       1                                                                                                                                                                                                                                                                                              has had,has had,"America alone has had three deadlier mass shootings for civilians by a single perpetrator than what seems to be the deadliest knife attack in history, which took eight people. What seems to be the deadliest solo knife attack ever only killed 19 people, which is 1/3 of America's deadliest gun massacre.",do gun control laws reduce crime
1452       1                                                                                                                                                                                                                                                                                          were higher,were higher,"Numbers of non-EU international nurse recruits has increased markedly since the 2016 referendum, and are at their highest levels since 2007/08. In 2017/18 overall international registrants were higher than in 2009/10 or 2010/11, suggesting fears of a collapse in international recruits are overblown.",should the uk remain in the eu if the only alternative is a hard brexit
1453       1                                                                                                                                                                                                                                                                                            is ranked,is ranked,"An example can be seen in the USA where the quality of federally standardized K-12 education is ranked 38th in the world. pewresearch.org Thus, European countries should be allowed to direct their own education policies with minimal intervention.",the european union should become a united states of europe
1454       1                                                                                                                                                                                                                                                                                            is ranked,is ranked,"HDI is not a tool that can be used to judge what a government is doing to promote the quality of life of people in a country. For example, Saudi Arabia has an HDI of 0.853, but women are only now being allowed to drive. China is ranked 86th and they have one of the best education systems as suggested by PISA scores (ranked 6th in Maths and 10th in science\).",is narendra modi good for india
1455       1                                                                                                                                                                                                                                                                                               ranked,ranked,"Serene Williams, who is popularly regarded as the most dominant female tennis player, challenged a male tennis player who ranked 203 in the male category in the Australian Open and lost.",should athletes be allowed to compete in their chosen gender category
1456       1                                                                                                                                                                                                                                                                                               ranked,ranked,Modi was ranked the fifth most powerful world leader in 2015 by Forbes magazine.,is narendra modi good for india
1457       1                                                                                                                                                                                                                                                                                               ranked,ranked,"US homeschooled students are ranked in the 77th percentile academically, 27% higher than compulsorily schooled students.",should homeschooling be banned
1458       1                                                                                                                                                                                                                                                                                               ranked,ranked,"Some of the happiest and most peaceful countries are also some of the least religious. In 2012, the top 4 happiest nations, Denmark, Norway, Sweden, and the Netherlands were also ranked as the 2nd, 3rd, and 4th least religious countries.  psychologytoday.com",has religion been a good thing for humanity
1459       1                                                                                                                                                                                                                                                                                               ranked,ranked,Ukraine has relatively strong democratic institutions and yet has also been ranked as the 9th most corrupt in a survey of 55 countries.,should the uk remain in the eu if the only alternative is a hard brexit
1460       1                                                                                                                                                                                                                                                                                               ranked,ranked,"Norway, a non-member of the EU, has been ranked the ""world's best democracy"" for six years running.",is it time for hungary and the eu to part ways
1461       1                                                                                                                                                                                                                                                                                               ranked,ranked,"A survey conducted by the Thomson Reuters Foundation in 2018 ranked India as the world's most dangerous country for women. The poll surveyed 548 experts on six different indices - healthcare, discrimination, cultural traditions, sexual and non-sexual violence, and human trafficking. India topped three categories - cultural traditions, sexual violence and human trafficking.",is the gulabi gang a force for good in india
1462       1                                                                                                                                                                                                                                                                                               ranked,ranked,The bombing of Hiroshima ranked only fourth in terms of destruction of cityscape.,did the us have to use nuclear weapons to achieve japans unconditional surrender
1463       1                                                                                                                                                                                                                                                                                               ranked,ranked,"Alphabet, created by Google to serve as its parent company, ranked 23rd on Forbes list of the Worlds Largest Public Companies 2018, and was the 4th biggest tech company in the world.",should google censor their search results in order to operate in china
1464       1                                                                                                                                                                                                                                                                                               ranked,ranked,The DASH diet ranked #1 diet out of 29 for blood pressure and overall heart health.,what is the best diet for human health and well being
1465       1                                                                                                                                                                                                                                                                                               ranked,ranked,"Alphabet, created by Google to serve as its parent company, ranked 23rd on Forbes list of the Worlds Largest Public Companies 2018, and was the 4th biggest tech company in the world.",should google censor their search results in order to operate in china
1466       1                                                                                                                                                                                                                                                                                               ranked,ranked,"An example can be seen in the USA where the quality of federally standardized K-12 education is ranked 38th in the world. pewresearch.org Thus, European countries should be allowed to direct their own education policies with minimal intervention.",the european union should become a united states of europe
1467       1                                                                                                                                                                                                                                                                                               ranked,ranked,"In 2018, India was 177 (out of 180 countries\) on the Environmental Performance Index. In 2016, India was ranked 141 on the same index.",is narendra modi good for india
1468       1                                                                                                                                                                                                                                                                                               ranked,ranked,Google ranked 3rd on the Corporate Social Responsibility (CSR\) list of most socially responsible companies in the world 2017.,should google censor their search results in order to operate in china
1469       1                                                                                                                                                                                                                                                                                               ranked,ranked,"India's rank is only seeming to slip because the global hunger index is adding countries to its report. In 2014, India was ranked 55th out of 74 countries. In 2015, India was 80th position in a list of 104 countries. In 2018, there were 129 countries in the survey, with 25 new countries having been added. India ranks 103rd in this 2018 report.",is narendra modi good for india
1470       1                                                                                                                                                                                                                                                                                               ranked,ranked,"In 2017, Moulton was ranked in the top 10% of the most bipartisan members of Congress. At a time when America is bitterly divided, Moulton may be able to unite politicians across the political spectrum.",us 2020 presidential election who should the democratic nominee be
1471       1                                                                                                                                                                                                                                                                                               ranked,ranked,"CoonTown, a racist offshoot of The Chimpire with its 3,287 subscribers, ranked in the top 2% of popular subreddits.",the aclu and charlottesville should the aclu defend white supremacists
1472       1                                                                                                                                                                                                                                                                                               ranked,ranked,India was ranked 103 on the World Economic Forum's Global Human Capital Index.,is narendra modi good for india
1473       1                                                                                                                                                                                                                                                                                               ranked,ranked,"America is leading in pure number of publications produced, but the quality of these publications falls behind other countries which have greater numbers of citations per paper. In this regard, America ranks 15th for the years 1996-2017. In 2016, it was ranked 101st and in 2017 it was ranked 78th.",is the usa an exceptional country
1474       1                                                                                                                                                                                                                                                                                               ranked,ranked,"CoonTown, a racist offshoot of The Chimpire with its 3,287 subscribers, ranked in the top 2% of popular subreddits.",the aclu and charlottesville should the aclu defend white supremacists
1475       1                                                                                                                                                                                                                                                                                     is equivalent to,is equivalent to,"On average, the stipend that foster parents receive is equivalent to $1/hour and does not even cover the child's living expenses. Fostering thus often costs the carers money, rather than earning them any additional income.",should a license be required in order to have a child procreate
1476       1                                                                                                                                                                                                                                                                                     is equivalent to,is equivalent to,The United States population is equivalent to 4.28% of the total world population. It would be unfair that such a minority have power to rule over the 7.6 billion people on Earth.,should the united states be the global police
1477       1                                                                                                                                                                                                                                                                                     is equivalent to,is equivalent to,"The Trans Mountain Pipeline expansion project would triple the transportation capacity of the existing pipeline to about 900,000 barrels of oil per day, resulting in an additional 13.5 to 17 megatons of GHG emissions per year (which is equivalent to adding 3 million cars on the road\).",should canada build the trans mountain pipeline expansion
1478       1                                                                                                                                                                                                                                                                                     is equivalent to,is equivalent to,Reparations could wreck the federal budget. Demands like those by the The National Coalition of Blacks for Reparations in America (N'COBRA\) would result in a total cost of reparations of about $8 trillion. This is equivalent to twice the 2017 federal budget of the United States.,should the us pay reparations for slavery
1479       1                                                                                                                                                                                                                                                                                               two of,two of,The bystander reaches the two of the three parts of culpability if he pulls the lever:,the trolley problem whats the right solution
1480       1                                                                                                                                                                                                                                                                                               two of,two of,"This might be explained with other factors that these countries have in common. For example, most of them are relatively poor_per_capita#cite_note-5). Only two of them rank among the 100 wealthiest countries in terms of GDP per capita and none among the world's top-50.",should high income countries take in refugees
1481       1                                                                                                                                                                                                                                                                                               two of,two of,The linked page in the above statement says that 15% of women in the United States are infected with the high risk types which cause cancer and that the vaccine helps protect against two of them which are the cause of 90% of cervical cancers.,should hpv vaccinations be compulsory
1482       1                                                                                                                                                                                                                                                                                            as old as,as old as,The earliest known human pottery is approximately twice as old as the age of the Earth predicted by Young Earth Creationists.,the existence of god
1483       1                                                                                                                                                                                                                                                                                              four of,four of,"This is especially stark when it comes to social media, which are an important aggregator of information for many voters. Excluding Chinese platforms, four of the five largest social networking services worldwide are owned by Facebook.",should referendums be abolished
1484       1                                                                                                                                                                                                                                                                                           was higher,was higher,The turnout for the Brexit Referendum was higher than that of any general election since 1997 (at 72.2%\),should the uk remain in the eu if the only alternative is a hard brexit
1485       1                                                                                                                                                                                                                                                                                           was higher,was higher,"All violence is extremely low in countries like Austria with lax gun laws, on non-gun violent crime is high in the UK. In 2004, the UK's total murder rate was higher than the US, while Austria's is one of the world's lowest.",do gun control laws reduce crime
1486       1                                                                                                                                                                                                                                                                                      was higher than,was higher than,"The data is open to interpretation. Though this article focuses on something tangential to the above claim, it does mention that the real GDP growth was higher than 2.6 in eight of the last eighteen quarters.",should trump be impeached
1487       1                                                                                                                                                                                                                                                                                      was higher than,was higher than,The turnout for the Brexit Referendum was higher than that of any general election since 1997 (at 72.2%\),should the uk remain in the eu if the only alternative is a hard brexit
1488       1                                                                                                                                                                                                                                                                                          is equal to,is equal to,"The only grading that is referenced is achieving ""mastery"".This is a simple pass/fail scenario. If ""mastery"" is considered 70%, then  someone scoring 70% is equal to the person scoring 100% and that is just not true.",schools should eliminate grades and replace them with competency based education
1489       1                                                                                                                                                                                                                                                                                          is equal to,is equal to,"""Therefore, it is impossible to determine whether there is any validity to any religion,"" is an unwarranted conclusion based on the evidence of individual belief alone. In mathematics, 2+2 is equal to 4. There is one right answer and an infinitude of wrong answers. The same can be true for religion.",the existence of god
1490       1                                                                                                                                                                                                                                                                                          is equal to,is equal to,"""Therefore, it is impossible to determine whether there is any validity to any religion,"" is an unwarranted conclusion based on the evidence of individual belief alone. In mathematics, 2+2 is equal to 4. There is one right answer and an infinitude of wrong answers. The same can be true for religion.",the existence of god
